date,market,index_close,drawdown_pct,oscillator,up_pct_amt,up_pct_vol,points_up_pct,up_vol,down_vol,up_amt,down_amt,advancers,decliners,signal
2026-05-21,KOSPI,7815.59,0.0,97.4,97.4,97.66,97.4,211212993,5057588,0,0,0,0,PANIC BUYING (90% Up Day)
2026-05-22,KOSPI,7847.71,0.0,85.43,85.43,80.78,85.43,132089096,31422343,0,0,0,0,과매수 (+80% 이상)
2026-05-26,KOSPI,8047.51,0.0,62.01,62.01,72.13,62.01,141958764,54846964,0,0,0,0,중립
2026-05-27,KOSPI,8228.7,0.0,-62.48,37.52,54.53,37.52,154145682,128522291,0,0,0,0,중립
2026-05-28,KOSPI,8185.29,-0.53,-76.04,23.96,24.06,23.96,56585047,178551867,0,0,0,0,중립
2026-05-29,KOSPI,8476.15,0.0,71.46,71.46,73.78,71.46,319774364,113621112,0,0,0,0,중립
2026-06-01,KOSPI,8788.38,0.0,53.03,53.03,52.69,53.03,178434240,160225755,0,0,0,0,중립
2026-06-02,KOSPI,8801.49,0.0,-55.75,44.25,58.87,44.25,187398701,130915676,0,0,0,0,중립
2026-06-04,KOSPI,8639.41,-1.84,-53.14,46.86,38.51,46.86,74148813,118413793,0,0,0,0,중립
2026-06-05,KOSPI,8160.59,-7.28,-85.99,14.01,14.69,14.01,29072824,168824441,0,0,0,0,과매도 (-80% 이하)
2026-06-08,KOSPI,7484.41,-14.96,-94.91,5.09,9.03,5.09,18151830,182861841,0,0,0,0,PANIC SELLING (90% Down Day)
2026-06-09,KOSPI,8096.93,-8.01,85.44,85.44,79.44,85.44,161735621,41849655,0,0,0,0,과매수 (+80% 이상)
2026-06-10,KOSPI,7730.82,-12.16,-59.3,40.7,36.88,40.7,73093100,125113842,0,0,0,0,중립
2026-06-11,KOSDAQ,996.93,-18.7,88.24,88.24,72.7,93.4,457959466,171956923,12025228551018,1602879961407,1219,457,과매수 (+80% 이상)
2026-06-11,KOSPI,7763.95,-11.79,56.05,56.05,40.64,67.05,191876980,280279801,24628185709529,19309585278001,576,320,중립
2026-06-15,KOSDAQ,1034.03,-15.67,62.33,62.33,61.01,46.33,339938398,217224347,7140775528300,4315953998454,1010,662,중립
2026-06-15,KOSPI,8545.98,-2.9,93.42,93.42,85.03,87.03,436005817,76767855,37223648898095,2622894240582,676,207,PANIC BUYING (90% Up Day)
2026-06-16,KOSDAQ,1018.68,-16.92,-57.95,42.05,54.99,28.48,336905251,275771552,3767480906309,5192818051715,764,896,중립
2026-06-16,KOSPI,8726.6,-0.85,83.2,83.2,66.76,77.77,385343580,191848130,33435960584075,6753151349404,519,360,과매수 (+80% 이상)
2026-06-17,KOSDAQ,1031.96,-15.84,68.4,68.4,70.03,70.66,395054310,169075083,6553136123014,3026824864104,957,681,중립
2026-06-17,KOSPI,8864.24,0.0,73.43,73.43,63.12,45.59,355033709,207431218,26274910589066,9506184902742,349,526,중립
2026-06-18,KOSDAQ,1000.93,-18.37,-62.17,37.83,33.61,12.13,204490136,403887613,3414899175948,5612698218700,245,1436,중립
2026-06-18,KOSPI,9063.84,0.0,74.53,74.53,41.97,33.42,214201214,296119773,37832135355463,12931893650758,109,791,중립
2026-06-19,KOSDAQ,966.59,-21.17,-85.13,14.87,22.57,7.22,198283043,680156495,1581245081072,9054529333297,200,1490,과매도 (-80% 이하)
2026-06-19,KOSPI,9052.42,-0.13,52.64,52.64,24.32,36.13,124972133,388949472,35294914766760,31756176138483,115,787,중립
2026-06-22,KOSDAQ,968.4,-21.02,66.89,66.89,40.46,48.98,254168369,374065560,6077758135362,3008167211158,383,1297,중립
2026-06-22,KOSPI,9114.55,0.0,54.61,54.61,41.31,32.64,156121598,221777359,22792196114743,18943622091045,148,742,중립
2026-06-23,KOSDAQ,891.52,-27.29,-86.56,13.44,39.8,1.59,314672534,475947283,1144982579196,7374102480978,134,1574,과매도 (-80% 이하)
2026-06-23,KOSPI,8203.84,-9.99,-98.29,1.71,21.0,1.78,102564860,385901173,1051967428610,60357243635773,46,859,PANIC SELLING (90% Down Day)
2026-06-24,KOSDAQ,909.31,-25.84,61.18,61.18,54.85,77.89,348133854,286598822,4275864079099,2712593167674,883,786,중립
2026-06-24,KOSPI,8471.02,-7.06,78.1,78.1,55.74,58.55,226066031,179533628,43235647251270,12126453909504,516,367,중립
2026-06-25,KOSDAQ,887.81,-27.6,-63.54,36.46,26.3,19.64,163255676,457474303,2491324318635,4340835303872,400,1280,중립
2026-06-25,KOSPI,8930.3,-2.02,87.29,87.29,52.96,62.3,237481964,210954324,45295675172485,6595754832792,291,589,과매수 (+80% 이상)
2026-06-26,KOSDAQ,851.37,-30.57,-69.93,30.07,25.14,12.29,180822248,538491442,2426614042220,5642767787834,220,1470,중립
2026-06-26,KOSPI,8411.21,-7.72,-97.98,2.02,18.3,4.38,93933997,419356985,1090910458260,52880472951187,111,780,PANIC SELLING (90% Down Day)
2026-06-29,KOSDAQ,920.57,-24.92,81.86,81.86,79.26,94.82,450071350,117799297,6657890483069,1475063778615,1555,157,과매수 (+80% 이상)
2026-06-29,KOSPI,8394.65,-7.9,-70.16,29.84,74.65,87.85,276562312,93941148,12717786885474,29895798444140,820,88,중립
2026-06-30,KOSDAQ,916.18,-25.28,56.86,56.86,39.39,51.78,258266121,397340607,4509043951051,3421491127399,718,974,중립
2026-06-30,KOSPI,8476.48,-7.0,82.66,82.66,60.6,50.12,270205282,175695100,34567424500449,7253463887721,262,623,과매수 (+80% 이상)
2026-07-01,KOSDAQ,929.35,-24.21,60.39,60.39,68.76,74.18,409899810,186199352,7088280234899,4649997095185,1193,491,중립
2026-07-01,KOSPI,8303.41,-8.9,-61.25,38.75,75.92,77.53,353130792,111991105,15450334884760,24425850013568,700,193,중립
